CNPJ, Numero NF, Data Coletado, Data Entregue
07175725002103, 132878, 01/02/2023, 03/02/2023
07175725002103, 133173, 08/02/2023, 10/02/2023
07175725002103, 133243, 10/02/2023, 13/02/2023
07175725002103, 133627, 22/02/2023, 24/02/2023
07175725002103, 133909, 03/03/2023, 06/03/2023
07175725002103, 134009, 03/03/2023, 06/03/2023
07175725002103, 134373, 15/03/2023, 17/03/2023
07175725002103, 134604, 23/03/2023, 27/03/2023
07175725002103, 134925, 04/04/2023, 06/04/2023
07175725002103, 134974, 04/04/2023, 06/04/2023
