CNPJ, Numero NF, Data Coletado, Data Entregue
07175725002103, 132878, 01/02/2023, 03/02/2023
07175725002103, 133173, 08/02/2023, 10/02/2023
07175725002103, 133243, 10/02/2023, 13/02/2023
07175725002103, 133627, 22/02/2023, 24/02/2023
07175725002103, 133909, 03/03/2023, 06/03/2023
07175725002103, 134009, 03/03/2023, 06/03/2023
07175725002103, 134373, 15/03/2023, 17/03/2023
07175725002103, 134604, 23/03/2023, 27/03/2023
07175725002103, 134925, 04/04/2023, 06/04/2023
07175725002103, 134974, 04/04/2023, 06/04/2023
07175725002103, 135027, 18/03/2019, 20/03/2019
07175725002103, 135029, 05/04/2023, 06/04/2023
07175725002103, 135233, 12/04/2023, 14/04/2023
07175725002103, 135234, 12/04/2023, 14/04/2023
07175725002103, 135293, 13/04/2023, 17/04/2023
07175725002103, 135294, 13/04/2023, 17/04/2023
07175725002103, 135327, 13/04/2023, 17/04/2023
07175725002103, 135377, 25/03/2019, 28/03/2019
07175725002103, 135712, 05/02/2019, 07/02/2019
07175725002103, 135762, 27/04/2023, 03/05/2023
07175725002103, 135763, 27/04/2023, 03/05/2023
07175725002103, 135805, 02/05/2023, 05/05/2023
07175725002103, 135924, 04/05/2023, 08/05/2023
07175725002103, 136014, 08/05/2023, 09/05/2023
07175725002103, 136214, 11/04/2019, 15/04/2019
07175725002103, 136626, 23/05/2023, 26/05/2023
07175725002103, 136641, 23/05/2023, 26/05/2023
07175725002103, 136723, Not Found, Not Found
07175725002103, 137007, 06/06/2023, 09/06/2023
07175725002103, 137077, 06/06/2023, 09/06/2023
07175725002103, 137133, 06/06/2023, 09/06/2023
07175725002103, 137280, 13/06/2023, 14/06/2023
07175725002103, 137327, 14/06/2023, 19/06/2023
07175725002103, 137328, 14/06/2023, 19/06/2023
07175725002103, 137397, 15/06/2023, 19/06/2023
07175725002103, 137399, 15/06/2023, 19/06/2023
07175725002103, 137598, 21/06/2023, 22/06/2023
07175725002103, 137718, 26/06/2023, 28/06/2023
07175725002103, 137847, 28/06/2023, 03/07/2023
07175725002103, 137848, 28/06/2023, 03/07/2023
07175725002103, 138032, 04/07/2023, 07/07/2023
07175725002103, 138381, 13/07/2023, 18/07/2023
07175725002103, 138431, 13/07/2023, 18/07/2023
07175725002103, 138432, 13/07/2023, 18/07/2023
07175725002103, 138490, 14/07/2023, 18/07/2023
07175725002103, 138538, 17/07/2023, 19/07/2023
07175725002103, 138578, 18/07/2023, 20/07/2023
07175725002103, 138629, 20/07/2023, 21/07/2023
07175725002103, 138630, 20/07/2023, 26/07/2023
07175725002103, 138785, 24/07/2023, 26/07/2023
07175725002103, 138832, 27/07/2023, 02/08/2023
07175725002103, 138833, 27/07/2023, 02/08/2023
07175725002103, 138924, Not Found, Not Found
07175725002103, 138927, Not Found, Not Found
07175725002103, 138928, 08/03/2019, 12/03/2019
07175725002103, 138929, Not Found, Not Found
07175725002103, 138985, 03/08/2023, 07/08/2023
07175725002103, 139076, 03/08/2023, 07/08/2023
07175725002103, 139077, 27/10/2020, 29/10/2020
07175725002103, 139078, 03/08/2023, 07/08/2023
07175725002103, 139079, 03/08/2023, 07/08/2023
07175725002103, 139080, 03/08/2023, 07/08/2023
07175725002103, 139081, 03/08/2023, 07/08/2023
07175725002103, 139220, 08/08/2023, 10/08/2023
07175725002103, 139222, 08/08/2023, 10/08/2023
07175725002103, 139451, 11/08/2023, 14/08/2023
07175725002103, 139598, 16/08/2023, 18/08/2023
07175725002103, 139781, 22/08/2023, 24/08/2023
07175725002103, 139786, 22/08/2023, 24/08/2023
07175725002103, 139787, 22/08/2023, 24/08/2023
07175725002103, 139838, 22/08/2023, 24/08/2023
07175725002103, 139921, 10/11/2020, 12/11/2020
07175725002103, 139986, 03/07/2019, 05/07/2019
07175725002103, 139988, 28/08/2023, 30/08/2023
07175725002103, 139989, 28/08/2023, 30/08/2023
07175725002103, 140035, 28/08/2023, 30/08/2023
07175725002103, 140036, 28/08/2023, 30/08/2023
07175725002103, 140038, 29/08/2023, 31/08/2023
07175725002103, 140041, 28/08/2023, 30/08/2023
07175725002103, 140151, 30/08/2023, 04/09/2023
07175725002103, 140152, 05/07/2019, 10/07/2019
07175725002103, 140153, 30/08/2023, 04/09/2023
07175725002103, 140163, 30/08/2023, 04/09/2023
07175725002103, 140203, 31/08/2023, 05/09/2023
07175725002103, 140204, 31/08/2023, 05/09/2023
07175725002103, 140304, Not Found, Not Found
